Timestamp,Coordinates
2024-02-10T14:59:30.355000Z,"[52.4953892, 13.4440483]"
2024-02-10T14:59:30.410556Z,"[52.49539, 13.4440451]"
2024-02-10T14:59:30.466111Z,"[52.4953913, 13.4440423]"
2024-02-10T14:59:30.521667Z,"[52.4953927, 13.44404]"
2024-02-10T14:59:30.577222Z,"[52.4953942, 13.4440382]"
2024-02-10T14:59:30.632778Z,"[52.4953955, 13.4440364]"
2024-02-10T14:59:30.688333Z,"[52.4953963, 13.4440338]"
2024-02-10T14:59:30.743889Z,"[52.495397, 13.4440312]"
2024-02-10T14:59:30.799444Z,"[52.4953976, 13.4440276]"
2024-02-10T14:59:30.855000Z,"[52.4953984, 13.4440245]"
2024-02-10T14:59:30.910556Z,"[52.4953989, 13.4440207]"
2024-02-10T14:59:30.966111Z,"[52.4953997, 13.4440171]"
2024-02-10T14:59:31.021667Z,"[52.4954008, 13.4440137]"
2024-02-10T14:59:31.077222Z,"[52.4954018, 13.4440104]"
2024-02-10T14:59:31.132778Z,"[52.4954025, 13.4440072]"
2024-02-10T14:59:31.188333Z,"[52.4954032, 13.4440039]"
2024-02-10T14:59:31.243889Z,"[52.495404, 13.4440007]"
2024-02-10T14:59:31.299444Z,"[52.4954049, 13.4439978]"
2024-02-10T14:59:31.345000Z,"[52.4954055, 13.4439945]"
2024-02-10T14:59:31.400556Z,"[52.4954062, 13.4439912]"
2024-02-10T14:59:31.456111Z,"[52.4954063, 13.4439867]"
2024-02-10T14:59:31.511667Z,"[52.4954066, 13.4439831]"
2024-02-10T14:59:31.567222Z,"[52.4954074, 13.4439803]"
2024-02-10T14:59:31.622778Z,"[52.4954083, 13.443977]"
2024-02-10T14:59:31.678333Z,"[52.495409, 13.4439744]"
2024-02-10T14:59:31.733889Z,"[52.4954101, 13.4439717]"
2024-02-10T14:59:31.789444Z,"[52.4954111, 13.4439685]"
2024-02-10T14:59:31.845000Z,"[52.4954124, 13.4439657]"
2024-02-10T14:59:31.900556Z,"[52.4954139, 13.4439636]"
2024-02-10T14:59:31.956111Z,"[52.4954149, 13.4439612]"
2024-02-10T14:59:32.011667Z,"[52.4954159, 13.4439588]"
2024-02-10T14:59:32.067222Z,"[52.4954169, 13.4439563]"
2024-02-10T14:59:32.122778Z,"[52.4954178, 13.4439538]"
2024-02-10T14:59:32.178333Z,"[52.4954183, 13.443951]"
2024-02-10T14:59:32.233889Z,"[52.4954187, 13.4439482]"
2024-02-10T14:59:32.289444Z,"[52.4954188, 13.443945]"
